# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Mon Feb 25 09:42:59 CST 2019 [seed=1551058978230]
# -beagle_SSE DTA_385_nosample_tight_100m.xml
# keywords: skyline
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	skyline.popSize1	skyline.popSize2	skyline.popSize3	skyline.popSize4	skyline.popSize5	skyline.popSize6	skyline.popSize7	skyline.popSize8	skyline.popSize9	skyline.popSize10	skyline.groupSize1	skyline.groupSize2	skyline.groupSize3	skyline.groupSize4	skyline.groupSize5	skyline.groupSize6	skyline.groupSize7	skyline.groupSize8	skyline.groupSize9	skyline.groupSize10	kappa	alpha	default.clock.rate	location.clock.rate	default.meanRate	location.meanRate	location.includedPredictors	location.coefficientsTimesIndicators1	location.coefficientsTimesIndicators2	location.coefficientsTimesIndicators3	location.coefficientsTimesIndicators4	location.coefficientsTimesIndicators5	location.coefficientsTimesIndicators6	location.coefficientsTimesIndicators7	location.coefficientsTimesIndicators8	location.coefficientsTimesIndicators9	location.coefficientsTimesIndicators10	location.coefficientsTimesIndicators11	default.treeLikelihood	default.branchRates	location.branchRates	location.treeLikelihood	skyline
0	-286888.5812927743	-45284.22800110368	-241604.3532916706	162.51762821950965	1852.402919725696	2087.141862216148	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	39.0	39.0	39.0	39.0	38.0	38.0	38.0	38.0	38.0	38.0	2.0	0.5	1.0	1.0	1.0	1.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-240649.64553937144	0.0	0.0	-954.7077522991333	-38754.199605086
20000	-116522.50112138187	-5024.960638593354	-111497.5404827885	67.91496338273292	1947.0055845624727	2651.3285261638916	508.7502311677123	632.6830246425492	466.90929703943544	610.804571824499	415.49922454231006	342.6694141138558	226.49818001284902	167.3260751772712	93.0347317550906	95.23050884839574	38.0	25.0	55.0	31.0	40.0	49.0	41.0	25.0	29.0	51.0	10.023477702544524	0.4634793950448009	0.010030739663644787	0.024704090132792334	0.010030739663644778	0.02470409013279236	3.0	0.0	1.245873756360759	0.0	0.0	-0.421287642619344	0.0	-0.0	-0.9840370519231019	0.0	0.0	0.0	-110735.39460218693	0.0	0.0	-762.1458806015796	-2541.7497137030014
40000	-94487.10816411856	-5026.957354725166	-89460.1508093934	47.089592848924546	1967.830955096281	2615.1173978234688	479.1720979369306	739.2947327261418	698.8102344379583	579.0513790660307	440.16662635419146	417.4535575829966	275.2119128644542	168.16478756252255	87.15419652752723	43.90506969663772	41.0	3.0	41.0	34.0	57.0	43.0	49.0	22.0	50.0	44.0	9.41941956277155	0.4377982620532976	0.005828306068008394	0.02301512985650295	0.005828306068008397	0.023015129856502933	4.0	0.20741580698523804	1.115465578135902	-0.0	-0.0	-0.8313868660984055	0.4147677471498721	-0.0	0.0	0.0	0.0	0.0	-88871.23175119676	0.0	0.0	-588.9190581966416	-2558.0034096268328
60000	-78808.30784113893	-4991.567592586059	-73816.74024855287	46.620907510375275	1968.2996404348303	2554.1817486623045	522.3270545097997	266.4710801816419	846.4210833905926	447.82077329617226	407.9409166750922	224.86679679363718	341.1387472688543	427.45586722403823	83.67579481568991	38.04197504151695	35.0	9.0	43.0	52.0	47.0	39.0	57.0	15.0	48.0	39.0	9.153758218885804	0.42873488155551936	0.004051188817372825	0.015697941743159496	0.004051188817372822	0.015697941743159517	5.0	0.0	4.343370048490931	0.0	0.0	-1.3319398788083712	1.8481228938370309	-0.0	-1.3447490567177536	0.42581104337001446	0.0	0.0	-73350.02335149815	0.0	0.0	-466.71689705472727	-2542.015252763043
80000	-68531.55610115905	-4952.026609638512	-63579.52949152054	47.99548822036834	1966.9250597248372	2489.607216769157	376.60232123241684	246.6319984729713	429.41842563906914	646.567584007162	298.85760415624657	329.38630647293957	352.1145706385952	212.0553154786659	106.64144310878615	39.15765596207502	24.0	19.0	27.0	56.0	27.0	44.0	64.0	25.0	61.0	37.0	9.013757682354234	0.4263513182577718	0.0031641167695195985	0.015293998729330384	0.0031641167695195976	0.015293998729330396	3.0	0.0	0.0	0.0	1.817454233300412	-0.9526637103953496	0.0	-0.0	0.0	0.0	-0.8215405486425826	0.0	-63192.281317889065	0.0	0.0	-387.2481736314722	-2515.1872574886524
100000	-61889.54934772692	-4966.196071742479	-56923.35327598444	60.966385488384994	1953.9541624568205	2527.438574350551	286.51534578310174	369.8136215697836	765.2018850142607	550.5329587538288	248.30058640803793	419.41545625937215	315.9238638532149	187.7692813726243	150.49073550609543	47.9081275066385	12.0	25.0	42.0	56.0	24.0	54.0	67.0	6.0	61.0	37.0	9.138719488124352	0.40433488233105613	0.0025264603832252574	0.014339196689238158	0.0025264603832252574	0.014339196689238179	3.0	0.0	-0.0	0.0	1.7431042047544059	-0.91610509643835	0.0	0.0	0.0	-0.0	-0.9036128034435835	-0.0	-56599.78801744222	0.0	0.0	-323.5652585422217	-2531.7568192182184
120000	-56676.777448011926	-4942.5969248341335	-51734.18052317779	62.06729235561597	1952.8532555895895	2526.5338478990575	515.2560290268756	364.2281222752936	224.34235424780852	570.7403979026086	442.3220905641175	396.8773139653968	339.6576656602142	193.87244112647193	142.91419376077195	42.107463052266475	25.0	19.0	40.0	53.0	9.0	62.0	71.0	8.0	49.0	48.0	8.705109544233036	0.4324921375903297	0.002269782786424353	0.009651648217655337	0.0022697827864243516	0.009651648217655346	3.0	0.0	-0.0	0.0	1.9843842126297913	-0.36082272165723456	-0.0	-0.0	-0.0	0.0	-0.6988185283501633	-0.0	-51432.478228043634	0.0	0.0	-301.7022951341581	-2520.1839127587073
140000	-53495.70719085934	-4920.793620567542	-48574.9135702918	66.27993353766442	1948.640614407541	2461.2537587602797	583.1463545649976	299.81336008373444	304.9370748386012	356.74198831005407	353.1379597590876	303.77023351615907	317.7178757950498	235.35534816292045	164.08122989922273	44.52913086524615	18.0	5.0	57.0	60.0	1.0	72.0	65.0	2.0	52.0	52.0	9.023989114805875	0.39528096112257866	0.0019800277830279377	0.010967571795192407	0.001980027783027934	0.01096757179519241	3.0	0.31849470738163577	0.0	-0.0	1.9490362493641484	-0.0	-0.0	-0.10310846335016247	-0.0	-0.0	-0.0	-0.0	-48294.27718359615	0.0	0.0	-280.6363866956553	-2499.0729143742833
160000	-52063.759335508104	-4910.510316857351	-47153.24901865076	70.69424613981114	1944.2263018053943	2464.345650079784	278.8164275446271	189.06152856461554	242.2694162903804	382.2732812747486	514.4756019045975	327.43315657548453	321.24383028681916	180.40379988207087	162.42009081055082	71.65707641699736	13.0	5.0	58.0	60.0	5.0	73.0	60.0	24.0	36.0	50.0	8.751970095770023	0.44588172637033346	0.0018807263301059793	0.01018503573897105	0.0018807263301059774	0.010185035738971044	2.0	0.4293729730780388	0.0	-0.0	1.4465952815048606	-0.0	0.0	0.0	-0.0	-0.0	0.0	-0.0	-46883.45714345187	0.0	0.0	-269.79187519888126	-2492.861878460152
180000	-51656.01517888828	-4879.389918061271	-46776.62526082701	63.87404880168497	1951.0464991435206	2323.1057484560297	252.82670735738753	695.4439657880627	250.44248468591147	583.2038133441221	217.01128794365252	319.41266726293446	225.14798800519986	307.08648441686506	113.76209174271469	49.913145514868155	27.0	5.0	64.0	39.0	17.0	70.0	67.0	8.0	36.0	51.0	8.801996340999166	0.4124476962935361	0.0019390116627432175	0.012466422249316253	0.001939011662743217	0.01246642224931624	3.0	0.4390706557510047	0.0	0.0	-0.0	-0.8116226986388517	-0.0	0.0	0.0	0.0	-0.0	-0.38931223365409956	-46521.06845564997	0.0	0.0	-255.55680517703635	-2454.0619194858014
