# BEAST v1.10.0 Prerelease #VEME2017
# Generated Thu Aug 02 12:26:40 NZST 2018 [seed=1533169596371]
# -beagle_SSE ../mugration_nosample_tight.xml
state	location.coefficients1	location.coefficients2	location.coefficients3	location.coefficients4	location.coefficients5	location.coefficients6	location.coefficients7	location.coefficients8	location.coefficients9	location.coefficients10	location.coefficients11	location.coefIndicators1	location.coefIndicators2	location.coefIndicators3	location.coefIndicators4	location.coefIndicators5	location.coefIndicators6	location.coefIndicators7	location.coefIndicators8	location.coefIndicators9	location.coefIndicators10	location.coefIndicators11	location.coefficientsTimesIndicators1	location.coefficientsTimesIndicators2	location.coefficientsTimesIndicators3	location.coefficientsTimesIndicators4	location.coefficientsTimesIndicators5	location.coefficientsTimesIndicators6	location.coefficientsTimesIndicators7	location.coefficientsTimesIndicators8	location.coefficientsTimesIndicators9	location.coefficientsTimesIndicators10	location.coefficientsTimesIndicators11
0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
20000	1.1613140233575947	2.369138118762078	-3.159983755243063	-0.8303896941111738	3.6756357143805944	-0.9383715534847623	-0.1615601136790747	-1.0232962177975553	0.15880550364823265	-0.6327587247806473	-0.39063723698330216	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	-0.9383715534847623	-0.0	-0.0	0.0	-0.0	-0.0
40000	-3.4322011424230956	0.7510713091392984	-0.8182716857727792	3.8066812336328955	2.98059700228902	-1.346812172220166	0.48156487358863836	-2.5530040150121005	2.469022074810643	1.852570741636214	-0.45370604235542916	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	0.0	-1.346812172220166	0.0	-0.0	0.0	0.0	-0.0
60000	2.239434786182488	-0.7742985333609094	1.604959191221136	-1.9584409436948758	-1.860333646928636	-1.4980309294515708	0.7187833177614122	-1.146479780279798	-2.5172058908287394	0.011713590722929476	-1.0567605585718216	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0	0.0	-0.0	-0.0	-1.4980309294515708	0.0	-0.0	-0.0	0.0	-0.0
80000	0.1706838949897037	-1.7178831962783925	-0.9894196578158276	0.4109493292083777	-0.7779102481653631	-0.6741425460329702	2.969988206155811	-1.8759670554590846	0.5578801908930389	-1.1179589428189936	1.1910188936758308	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.1706838949897037	-0.0	-0.0	0.0	-0.7779102481653631	-0.6741425460329702	0.0	-1.8759670554590846	0.5578801908930389	-0.0	0.0
100000	0.16233664183936905	0.7821718522600947	-0.028012342333631937	2.0790390293052208	-0.825898651742165	-0.9324808117027392	0.555290041709765	-2.5845023377147527	0.4250451397616207	-1.0002737099845982	3.035564042021208	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.16233664183936905	0.0	-0.0	0.0	-0.825898651742165	-0.9324808117027392	0.0	-2.5845023377147527	0.4250451397616207	-1.0002737099845982	0.0
120000	0.2422912270305826	0.5331859867172186	-0.04602198892699296	0.7942044972892661	-1.3109418468362122	0.057085923808997144	-3.0631810374089827	-1.9929226474649893	0.496769895511693	-1.625992068890679	-0.7935350306127082	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.2422912270305826	0.5331859867172186	-0.0	0.7942044972892661	-1.3109418468362122	0.0	-0.0	-1.9929226474649893	0.496769895511693	-1.625992068890679	-0.7935350306127082
140000	0.5417962710186967	1.0332169645360567	1.3334003984369445	0.28513989308641635	-0.6186933017712762	-1.2981936819378308	-1.8202102588386795	-2.64252485552209	0.17026995230169817	-3.099793116178457	-0.48868381922012516	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.5417962710186967	1.0332169645360567	0.0	0.0	-0.6186933017712762	-0.0	-0.0	-2.64252485552209	0.17026995230169817	-3.099793116178457	-0.48868381922012516
160000	0.6258869407739117	-0.25261401686342116	1.0989278476140953	2.44253585516696	-0.7187794681061441	-0.01829159401095143	1.3104187492194197	-1.6202729721588993	0.4099085237425892	-1.6646689929091973	-0.6336931513378011	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.6258869407739117	-0.0	0.0	0.0	-0.7187794681061441	-0.0	0.0	-1.6202729721588993	0.4099085237425892	-1.6646689929091973	-0.6336931513378011
180000	0.566725410144467	-1.3291689540841936	-0.3613805021560906	1.2031980547103054	-0.40579147327129295	-2.0277386005247178	-0.1452988367249638	-1.0341200994795927	-0.060189783170803646	-1.6083479281863877	-0.8958847941208596	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.566725410144467	-0.0	-0.0	1.2031980547103054	-0.40579147327129295	-0.0	-0.0	-1.0341200994795927	-0.0	-1.6083479281863877	-0.8958847941208596
200000	0.8076416545584182	1.1863509140199653	-2.9800891783601697	-2.132261218143957	-0.6605075107814633	-1.560706688985979	-2.16952584332443	-1.222603615506202	1.0985499408403918	-1.4281182852619896	-0.918629464222739	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.8076416545584182	0.0	-0.0	-0.0	-0.6605075107814633	-0.0	-0.0	-1.222603615506202	0.0	-1.4281182852619896	-0.918629464222739
220000	0.5974856017006254	-0.663321421271524	-0.6604019852740944	-2.312286856612094	-1.413356364168726	2.120823587324956	-1.7837586042538633	2.6977385820226685	3.5596641552033725	0.3103511207388967	1.3960799160068507	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5974856017006254	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.0	0.0	0.0	0.0
240000	0.3923480648734987	2.8617112545919943	-1.7530235546125945	-3.6210302350243913	-0.7121346586927021	-2.2570585448956884	-0.9527591513371829	1.4040716462239367	1.076798971074807	-2.3652965804483896	0.41694517472463094	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3923480648734987	0.0	-0.0	-0.0	-0.7121346586927021	-0.0	-0.0	0.0	0.0	-0.0	0.0
260000	0.577923229543381	-0.8423167980938833	-1.7836787476595473	0.21185582265124803	-0.6177195087406031	0.6821685880181232	-0.7203266782899963	-0.063968775056626	1.233844131601892	-1.1631430706258827	-0.6615436473686428	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.577923229543381	-0.0	-0.0	0.0	-0.6177195087406031	0.0	-0.0	-0.0	0.0	-0.0	-0.6615436473686428
280000	0.4294008663910395	-1.2750495686880465	2.223654171555805	2.489848570440937	-0.9222265681603002	0.061122651567241774	-0.34936328837916414	1.9953797339888102	-3.890008745202016	-1.8362718291985418	-0.5433497318480757	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.4294008663910395	-0.0	0.0	0.0	-0.9222265681603002	0.0	-0.0	0.0	-0.0	-0.0	-0.5433497318480757
300000	0.40732344605560233	-1.5267841452565534	0.1825022890143076	0.9123091767142556	-0.9444630135124426	-6.555933520890255	-0.8029026342504163	0.8904419466484855	1.9181419381334814	-0.4403454023151008	-0.5562502390149698	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.40732344605560233	-0.0	0.0	0.0	-0.9444630135124426	-0.0	-0.0	0.0	0.0	-0.0	-0.5562502390149698
320000	0.6056592915621107	-0.6517647071881331	-4.26075595961547	0.43585532046311937	-1.0754161170016552	-1.5309927526886826	-0.23459595617218942	-1.8754580718723473	-1.867034122837149	-3.0064166914207737	-0.7282952711871346	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.6056592915621107	-0.0	-0.0	0.43585532046311937	-1.0754161170016552	-0.0	-0.0	-0.0	-0.0	-0.0	-0.7282952711871346
340000	0.574306434436939	0.44894615331997084	-2.395027537148162	-1.9756060569516596	-0.5840835961280746	-1.3142690910723809	0.9035404432046583	-0.23103230108403666	-0.8757857152136475	0.1549041259373767	-0.445595697032976	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.574306434436939	0.0	-0.0	-0.0	-0.5840835961280746	-0.0	0.0	-0.0	-0.0	0.0	-0.445595697032976
