# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Mon Feb 25 09:42:05 CST 2019 [seed=1551058923968]
# -beagle_SSE DTA_385_sample_tight_100m.xml
# keywords: skyline
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	skyline.popSize1	skyline.popSize2	skyline.popSize3	skyline.popSize4	skyline.popSize5	skyline.popSize6	skyline.popSize7	skyline.popSize8	skyline.popSize9	skyline.popSize10	skyline.groupSize1	skyline.groupSize2	skyline.groupSize3	skyline.groupSize4	skyline.groupSize5	skyline.groupSize6	skyline.groupSize7	skyline.groupSize8	skyline.groupSize9	skyline.groupSize10	kappa	alpha	default.clock.rate	location.clock.rate	default.meanRate	location.meanRate	location.includedPredictors	location.coefficientsTimesIndicators1	location.coefficientsTimesIndicators2	location.coefficientsTimesIndicators3	location.coefficientsTimesIndicators4	location.coefficientsTimesIndicators5	location.coefficientsTimesIndicators6	location.coefficientsTimesIndicators7	location.coefficientsTimesIndicators8	location.coefficientsTimesIndicators9	location.coefficientsTimesIndicators10	location.coefficientsTimesIndicators11	location.coefficientsTimesIndicators12	location.coefficientsTimesIndicators13	default.treeLikelihood	default.branchRates	location.branchRates	location.treeLikelihood	skyline
0	-291116.87464704947	-43555.59478910048	-247561.279857949	171.78160738341998	1843.1389405617856	2015.4340781960186	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	39.0	39.0	39.0	39.0	38.0	38.0	38.0	38.0	38.0	38.0	2.0	0.5	1.0	1.0	1.0	1.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-246591.08037056788	0.0	0.0	-970.1994873811103	-37158.022029243264
20000	-120877.33544907556	-5046.167805911401	-115831.16764316415	54.31444110337132	1960.6061068418342	2772.6653164372783	696.3631517866378	688.1801058050866	625.4947781891826	394.9559004434288	378.45952272296205	604.5868502068013	404.0991214359134	227.69188546511768	84.7235071985985	70.98862873077181	44.0	21.0	65.0	51.0	1.0	40.0	23.0	58.0	49.0	32.0	10.05761274241228	0.47063944155925436	0.010229510438285284	0.017406586530629674	0.010229510438285285	0.017406586530629712	2.0	0.0	-0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	1.6995831522444653	0.3813300982830578	-115024.51114625114	0.0	0.0	-806.6564969130053	-2576.8105538434706
40000	-95278.75340449589	-5080.450810019914	-90198.30259447597	48.187365220234206	1966.7331827249714	2916.099198462822	964.6771109610494	1208.44082096756	572.8563642864256	485.1094390909001	657.5878651210443	432.3296375556328	347.3724315753702	213.09938593656264	125.81395999015044	20.226983289759303	38.0	20.0	71.0	50.0	9.0	40.0	11.0	73.0	64.0	8.0	9.524690450455331	0.44523562428089136	0.005241595009647205	0.01463879875631013	0.005241595009647196	0.014638798756310098	3.0	-0.0	-0.0	-0.0	-0.0	-0.7684145865105275	-0.0	-0.0	-3.1206187842132636	0.0	-0.0	0.0	2.299583385763837	-0.0	-89604.11599208257	0.0	0.0	-594.1866023933934	-2620.746681447398
60000	-79593.46254262514	-5073.197577695988	-74520.26496492916	52.287451476852674	1962.6330964683527	3001.3356166196877	510.14025330724763	752.3643309764805	677.6072065204239	675.7753294161104	373.59641876462086	405.60495179141117	250.16837225337076	190.90309322058872	124.75799687119604	24.79204556131171	34.0	24.0	71.0	49.0	17.0	37.0	6.0	73.0	62.0	11.0	9.618466164348124	0.42642055529483847	0.003502850684181448	0.015882893390537535	0.003502850684181444	0.015882893390537528	2.0	-0.0	-0.0	0.0	-0.0	-1.0634858017587228	0.0	0.0	0.0	-0.0	-0.0	-0.0	0.5695044216684234	-0.0	-74048.26488152417	0.0	0.0	-472.0000834049923	-2620.945930107745
80000	-68960.15611003315	-5034.031532632438	-63926.124577400704	56.51501338064398	1958.4055345645615	2929.0039092448405	518.1613676470122	737.3027831822077	714.5391010195066	695.671412044448	367.30924059433886	642.6075206009043	246.79855896958216	144.03135837821773	102.54293658912499	18.605906289232603	51.0	22.0	64.0	56.0	33.0	20.0	19.0	54.0	54.0	11.0	8.695087667393384	0.4270811841605203	0.0028817509425767386	0.008229496959163918	0.00288175094257674	0.008229496959163933	3.0	-0.0	-0.0	-0.0	0.8036693500120814	-1.037478827674048	-0.0	-0.0	0.0	0.0	-0.0	-0.0	0.5464060531755531	-0.0	-63538.82784348738	0.0	0.0	-387.29673391332636	-2605.5692887057985
100000	-59986.530133660686	-5023.256684311872	-54963.27344934882	59.2482053685141	1955.6723425766913	2829.0100967340513	422.1084575338869	289.2811408810519	495.61970030087906	674.612365190397	354.9727504216356	863.8773148406912	592.7664810737306	194.10275440364174	111.77219989836442	22.401643981719012	38.0	17.0	43.0	70.0	42.0	25.0	14.0	61.0	64.0	10.0	8.775508022074588	0.433513260826458	0.00216490894301325	0.012924154565425523	0.0021649089430132475	0.01292415456542552	3.0	-0.0	-0.0	0.0	1.699918479812157	-0.7221397167402149	-0.0	-0.0	-0.0	0.0	-1.0859066699619178	-0.0	-0.0	-0.0	-54653.18705149753	0.0	0.0	-310.0863978512894	-2581.3666901423903
120000	-55316.45463828879	-4985.07121483024	-50331.38342345855	65.06893180278148	1949.851616142424	2742.881873180971	336.52500363773976	434.4176601377884	644.9543959708246	540.8071588896963	357.8433855443271	485.86212841244566	430.3786611820367	172.5929133946875	106.14598617227755	17.00715980368442	28.0	26.0	46.0	75.0	43.0	23.0	15.0	64.0	59.0	5.0	8.40569045006812	0.43260971471937343	0.001925314763096046	0.0097149273512155	0.0019253147630960486	0.009714927351215505	2.0	0.7002077141237207	0.0	-0.0	0.0	0.0	-0.0	0.0	0.0	0.0	-0.0	-0.43742214029866483	-0.0	0.0	-50038.06206877783	0.0	0.0	-293.3213546807256	-2563.994276751749
140000	-53330.105449993054	-4949.33187066713	-48380.77357932593	65.00755818669899	1949.9129897585065	2623.065621066386	392.13188720533526	226.03805677154241	306.8697035719804	460.00377671755336	396.7900965523706	405.1245882670316	502.95848820929996	227.52485341576033	78.50476824107317	7.863706901375251	31.0	15.0	53.0	71.0	38.0	49.0	13.0	54.0	57.0	3.0	8.688103624722824	0.44153723200909734	0.0018977215000373455	0.009150395035532784	0.0018977215000373436	0.009150395035532792	3.0	0.6663770381777679	-0.0	-0.0	0.0	0.0	0.0	0.0	-0.0	0.0	-0.7882697283139058	-0.5720408966473406	0.0	-0.0	-48112.34829334728	0.0	0.0	-268.42528597864924	-2521.6172098960346
160000	-52349.58698628297	-4917.734010653689	-47431.852975629285	71.81855718654032	1943.1019907586651	2585.1254383581454	395.2788644768707	149.59808215877723	358.5928939440068	435.6739348525681	352.5462164181217	452.714193792841	104.34993428917734	134.24422794226675	87.04910567763957	38.067782796748084	33.0	21.0	48.0	74.0	59.0	40.0	4.0	55.0	43.0	7.0	8.931984129977494	0.46293468883781425	0.001897498010031496	0.008800163283342599	0.001897498010031495	0.008800163283342594	4.0	0.48435349580437104	0.0	0.0	-0.0	-0.483883731695332	0.0	0.0	0.0	0.0	-0.66863993921078	-0.26478878328389793	0.0	-0.0	-47171.84937759693	0.0	0.0	-260.00359803234875	-2493.322274096465
180000	-51909.78849252879	-4906.762542021955	-47003.02595050683	65.75173061526682	1949.1688173299387	2525.4560666457373	343.04800416711504	128.86726470953033	347.19729201790165	502.4074915005156	225.33987756643995	425.0957376614544	552.827772267185	157.1909646057818	96.50050397998899	8.61557546447624	34.0	27.0	52.0	62.0	64.0	32.0	7.0	57.0	44.0	5.0	8.828452056070589	0.4283037840527787	0.0018641622011362868	0.010553655806491749	0.0018641622011362849	0.010553655806491756	2.0	0.4650623813402584	0.0	-0.0	0.0	-0.5073296631939693	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	-0.0	-46742.38567580741	0.0	0.0	-260.64027469942016	-2480.077856772037
