from	to	year	trade
Bangladesh	China	2013	0
Bangladesh	Hong Kong	2013	0
Bangladesh	India	2013	0
Bangladesh	Iran	2013	0
Bangladesh	Israel	2013	0
Bangladesh	Japan	2013	0
Bangladesh	Pakistan	2013	0
Bangladesh	Saudi Arabia	2013	0
Bangladesh	South Korea	2013	0
Bangladesh	United Arab Emirates	2013	0
Bangladesh	Viet Nam	2013	0
China	Bangladesh	2013	0
China	Hong Kong	2013	4387
China	India	2013	0
China	Iran	2013	0
China	Israel	2013	0
China	Japan	2013	0
China	Pakistan	2013	0
China	Saudi Arabia	2013	0
China	South Korea	2013	0
China	United Arab Emirates	2013	0
China	Viet Nam	2013	0
Hong Kong	Bangladesh	2013	0
Hong Kong	China	2013	0
Hong Kong	India	2013	0
Hong Kong	Iran	2013	0
Hong Kong	Israel	2013	0
Hong Kong	Japan	2013	0
Hong Kong	Pakistan	2013	0
Hong Kong	Saudi Arabia	2013	0
Hong Kong	South Korea	2013	0
Hong Kong	United Arab Emirates	2013	0
Hong Kong	Viet Nam	2013	0
India	Bangladesh	2013	0
India	China	2013	0
India	Hong Kong	2013	0
India	Iran	2013	0
India	Israel	2013	0
India	Japan	2013	0
India	Pakistan	2013	0
India	Saudi Arabia	2013	170
India	South Korea	2013	0
India	United Arab Emirates	2013	1
India	Viet Nam	2013	0
Iran	Bangladesh	2013	0
Iran	China	2013	0
Iran	Hong Kong	2013	0
Iran	India	2013	0
Iran	Israel	2013	0
Iran	Japan	2013	0
Iran	Pakistan	2013	0
Iran	Saudi Arabia	2013	0
Iran	South Korea	2013	0
Iran	United Arab Emirates	2013	0
Iran	Viet Nam	2013	0
Israel	Bangladesh	2013	0
Israel	China	2013	0
Israel	Hong Kong	2013	0
Israel	India	2013	0
Israel	Iran	2013	0
Israel	Japan	2013	0
Israel	Pakistan	2013	0
Israel	Saudi Arabia	2013	0
Israel	South Korea	2013	0
Israel	United Arab Emirates	2013	0
Israel	Viet Nam	2013	0
Japan	Bangladesh	2013	0
Japan	China	2013	0
Japan	Hong Kong	2013	0
Japan	India	2013	0
Japan	Iran	2013	0
Japan	Israel	2013	0
Japan	Pakistan	2013	0
Japan	Saudi Arabia	2013	0
Japan	South Korea	2013	0
Japan	United Arab Emirates	2013	0
Japan	Viet Nam	2013	0
Pakistan	Bangladesh	2013	15
Pakistan	China	2013	0
Pakistan	Hong Kong	2013	0
Pakistan	India	2013	0
Pakistan	Iran	2013	0
Pakistan	Israel	2013	0
Pakistan	Japan	2013	0
Pakistan	Saudi Arabia	2013	0
Pakistan	South Korea	2013	0
Pakistan	United Arab Emirates	2013	0
Pakistan	Viet Nam	2013	0
Saudi Arabia	Bangladesh	2013	0
Saudi Arabia	China	2013	0
Saudi Arabia	Hong Kong	2013	0
Saudi Arabia	India	2013	0
Saudi Arabia	Iran	2013	0
Saudi Arabia	Israel	2013	0
Saudi Arabia	Japan	2013	0
Saudi Arabia	Pakistan	2013	0
Saudi Arabia	South Korea	2013	0
Saudi Arabia	United Arab Emirates	2013	551
Saudi Arabia	Viet Nam	2013	0
South Korea	Bangladesh	2013	0
South Korea	China	2013	0
South Korea	Hong Kong	2013	0
South Korea	India	2013	0
South Korea	Iran	2013	0
South Korea	Israel	2013	0
South Korea	Japan	2013	0
South Korea	Pakistan	2013	0
South Korea	Saudi Arabia	2013	0
South Korea	United Arab Emirates	2013	0
South Korea	Viet Nam	2013	0
United Arab Emirates	Bangladesh	2013	0
United Arab Emirates	China	2013	0
United Arab Emirates	Hong Kong	2013	0
United Arab Emirates	India	2013	0
United Arab Emirates	Iran	2013	0
United Arab Emirates	Israel	2013	0
United Arab Emirates	Japan	2013	0
United Arab Emirates	Pakistan	2013	0
United Arab Emirates	Saudi Arabia	2013	0
United Arab Emirates	South Korea	2013	0
United Arab Emirates	Viet Nam	2013	0
Viet Nam	Bangladesh	2013	0
Viet Nam	China	2013	0
Viet Nam	Hong Kong	2013	0
Viet Nam	India	2013	0
Viet Nam	Iran	2013	0
Viet Nam	Israel	2013	0
Viet Nam	Japan	2013	0
Viet Nam	Pakistan	2013	0
Viet Nam	Saudi Arabia	2013	0
Viet Nam	South Korea	2013	0
Viet Nam	United Arab Emirates	2013	0
Bangladesh	China	2012	0
Bangladesh	Hong Kong	2012	0
Bangladesh	India	2012	0
Bangladesh	Iran	2012	0
Bangladesh	Israel	2012	0
Bangladesh	Japan	2012	0
Bangladesh	Pakistan	2012	0
Bangladesh	Saudi Arabia	2012	0
Bangladesh	South Korea	2012	0
Bangladesh	United Arab Emirates	2012	0
Bangladesh	Viet Nam	2012	0
China	Bangladesh	2012	0
China	Hong Kong	2012	4345
China	India	2012	0
China	Iran	2012	0
China	Israel	2012	0
China	Japan	2012	0
China	Pakistan	2012	0
China	Saudi Arabia	2012	0
China	South Korea	2012	0
China	United Arab Emirates	2012	0
China	Viet Nam	2012	0
Hong Kong	Bangladesh	2012	0
Hong Kong	China	2012	0
Hong Kong	India	2012	0
Hong Kong	Iran	2012	0
Hong Kong	Israel	2012	0
Hong Kong	Japan	2012	0
Hong Kong	Pakistan	2012	0
Hong Kong	Saudi Arabia	2012	0
Hong Kong	South Korea	2012	0
Hong Kong	United Arab Emirates	2012	0
Hong Kong	Viet Nam	2012	0
India	Bangladesh	2012	0
India	China	2012	0
India	Hong Kong	2012	0
India	Iran	2012	0
India	Israel	2012	0
India	Japan	2012	0
India	Pakistan	2012	0
India	Saudi Arabia	2012	0
India	South Korea	2012	0
India	United Arab Emirates	2012	0
India	Viet Nam	2012	0
Iran	Bangladesh	2012	0
Iran	China	2012	0
Iran	Hong Kong	2012	0
Iran	India	2012	0
Iran	Israel	2012	0
Iran	Japan	2012	0
Iran	Pakistan	2012	0
Iran	Saudi Arabia	2012	0
Iran	South Korea	2012	0
Iran	United Arab Emirates	2012	0
Iran	Viet Nam	2012	0
Israel	Bangladesh	2012	0
Israel	China	2012	0
Israel	Hong Kong	2012	0
Israel	India	2012	0
Israel	Iran	2012	0
Israel	Japan	2012	0
Israel	Pakistan	2012	0
Israel	Saudi Arabia	2012	0
Israel	South Korea	2012	0
Israel	United Arab Emirates	2012	0
Israel	Viet Nam	2012	0
Japan	Bangladesh	2012	0
Japan	China	2012	0
Japan	Hong Kong	2012	0
Japan	India	2012	0
Japan	Iran	2012	0
Japan	Israel	2012	0
Japan	Pakistan	2012	0
Japan	Saudi Arabia	2012	0
Japan	South Korea	2012	0
Japan	United Arab Emirates	2012	0
Japan	Viet Nam	2012	0
Pakistan	Bangladesh	2012	0
Pakistan	China	2012	0
Pakistan	Hong Kong	2012	0
Pakistan	India	2012	0
Pakistan	Iran	2012	0
Pakistan	Israel	2012	0
Pakistan	Japan	2012	0
Pakistan	Saudi Arabia	2012	0
Pakistan	South Korea	2012	0
Pakistan	United Arab Emirates	2012	0
Pakistan	Viet Nam	2012	0
Saudi Arabia	Bangladesh	2012	0
Saudi Arabia	China	2012	0
Saudi Arabia	Hong Kong	2012	0
Saudi Arabia	India	2012	0
Saudi Arabia	Iran	2012	0
Saudi Arabia	Israel	2012	0
Saudi Arabia	Japan	2012	0
Saudi Arabia	Pakistan	2012	0
