location	year	rainfall_sd
Bangladesh	2013	0.9919106877636916
China	2013	0.779916144840762
Hong Kong	2013	0.8650779517141289
India	2013	1.0913913257975494
Iran	2013	0.7219869707858428
Israel	2013	1.6646484093169593
Japan	2013	0.4991600307692605
Pakistan	2013	0.7560756807087262
Saudi Arabia	2013	0.5397366161066991
South Korea	2013	0.9024707042034911
United Arab Emirates	2013	1.1166692500334443
Viet Nam	2013	0.5422073521847509
Bangladesh	2012	0.9016406934101785
China	2012	0.7072442930985875
Hong Kong	2012	0.8820357465476384
India	2012	1.1659453383240603
Iran	2012	0.6786343688857558
Israel	2012	1.1831728052126058
Japan	2012	0.39473917744283293
Pakistan	2012	0.6548296274711123
Saudi Arabia	2012	0.6373559933491656
South Korea	2012	0.9815663658351249
United Arab Emirates	2012	0.7877846273257183
Viet Nam	2012	0.685403606620295
Bangladesh	2011	1.381786828137694
China	2011	0.7782910102961467
Hong Kong	2011	1.0251260207811672
India	2011	1.176561354464792
Iran	2011	0.8040882129650011
Israel	2011	0.9984104095480982
Japan	2011	0.6288140889552722
Pakistan	2011	0.8536272974669221
Saudi Arabia	2011	0.6728066008725324
South Korea	2011	0.9502455419042841
United Arab Emirates	2011	0.9353645287722284
Viet Nam	2011	0.690303056285348
Bangladesh	2010	0.797527287771195
China	2010	0.6850715456384463
Hong Kong	2010	1.0663865025695645
India	2010	1.0055322056034888
Iran	2010	0.8703190026199703
Israel	2010	1.5930238808006014
Japan	2010	0.38361205733926695
Pakistan	2010	1.123147919136187
Saudi Arabia	2010	0.61721294858039
South Korea	2010	0.914496061203818
United Arab Emirates	2010	1.0333708724018618
Viet Nam	2010	0.5915845363181538
Bangladesh	2009	0.9372512203631503
China	2009	0.7459460660702362
Hong Kong	2009	0.9244261930226239
India	2009	1.0010348010551389
Iran	2009	0.7265349886911092
Israel	2009	1.2323834410215233
Japan	2009	0.45238377177398076
Pakistan	2009	0.5789918948852588
Saudi Arabia	2009	0.5966982666034042
South Korea	2009	1.252385990726075
United Arab Emirates	2009	1.4958868182162166
Viet Nam	2009	0.6544432038888273
Bangladesh	2008	1.0716217621940387
China	2008	0.7671156325771828
Hong Kong	2008	1.4430310877658428
India	2008	1.0822818776367042
Iran	2008	0.8896685044315942
Israel	2008	1.4117135967896506
Japan	2008	0.47653615736885296
Pakistan	2008	0.8075543480327979
Saudi Arabia	2008	0.7564114269979312
South Korea	2008	0.9495662275900013
United Arab Emirates	2008	1.4347483704265445
Viet Nam	2008	0.64721744125453
Bangladesh	2007	1.0771981124558003
China	2007	0.7686841471467862
Hong Kong	2007	1.2555707434778733
India	2007	1.0712240050389397
Iran	2007	0.8599137775885473
Israel	2007	1.1424768336291062
Japan	2007	0.6111510375855842
Pakistan	2007	0.850089021641552
Saudi Arabia	2007	0.7469086879712832
South Korea	2007	0.9234298691771116
United Arab Emirates	2007	1.9402542555606925
Viet Nam	2007	0.7621880923545469
