location	year	temperature_mean
Bangladesh	2013	24.761558333333333
China	2013	7.1937983333333335
Hong Kong	2013	23.275
India	2013	24.406358333333333
Iran	2013	18.248813333333334
Israel	2013	20.8082
Japan	2013	11.5285275
Pakistan	2013	20.6705475
Saudi Arabia	2013	25.31961666666667
South Korea	2013	11.5399275
United Arab Emirates	2013	27.436508333333332
Viet Nam	2013	24.567741666666667
Bangladesh	2012	24.9388
China	2012	6.579594999999999
Hong Kong	2012	23.4
India	2012	24.531666666666666
Iran	2012	17.718915
Israel	2012	21.0235
Japan	2012	11.1926575
Pakistan	2012	20.15662916666667
Saudi Arabia	2012	25.81205
South Korea	2012	10.9818625
United Arab Emirates	2012	27.899108333333334
Viet Nam	2012	24.903925
Bangladesh	2011	25.381825
China	2011	6.8640083333333335
Hong Kong	2011	23.03333333333333
India	2011	24.548658333333332
Iran	2011	17.854028333333332
Israel	2011	20.237516666666668
Japan	2011	11.369611666666666
Pakistan	2011	20.812609166666668
Saudi Arabia	2011	25.460691666666666
South Korea	2011	10.972618333333333
United Arab Emirates	2011	27.880466666666667
Viet Nam	2011	23.88865
Bangladesh	2010	26.07645
China	2010	6.996725
Hong Kong	2010	23.225
India	2010	25.149258333333332
Iran	2010	18.913011666666666
Israel	2010	22.037516666666665
Japan	2010	11.8012525
Pakistan	2010	21.098071666666666
Saudi Arabia	2010	26.534033333333333
South Korea	2010	11.232129166666667
United Arab Emirates	2010	28.5053
Viet Nam	2010	24.995466666666665
Bangladesh	2009	26.122975
China	2009	7.253823333333333
Hong Kong	2009	23.533333333333335
India	2009	25.192
Iran	2009	17.9717675
Israel	2009	20.729616666666665
Japan	2009	11.5240825
Pakistan	2009	20.959116666666667
Saudi Arabia	2009	25.89078333333333
South Korea	2009	11.6340625
United Arab Emirates	2009	27.790858333333333
Viet Nam	2009	24.724683333333335
Bangladesh	2008	25.406241666666666
China	2008	7.123865
Hong Kong	2008	23.075
India	2008	24.462575
Iran	2008	17.843859166666668
Israel	2008	20.686589166666668
Japan	2008	11.463050833333334
Pakistan	2008	20.554893333333332
Saudi Arabia	2008	25.451933333333333
South Korea	2008	11.5818875
United Arab Emirates	2008	27.454741666666667
Viet Nam	2008	23.950883333333334
Bangladesh	2007	25.406591666666667
China	2007	7.704940833333333
Hong Kong	2007	23.65
India	2007	24.626083333333334
Iran	2007	17.677834166666667
Israel	2007	20.437316666666668
Japan	2007	11.731965
Pakistan	2007	20.740771666666667
Saudi Arabia	2007	25.712458333333334
South Korea	2007	11.882114166666668
United Arab Emirates	2007	27.944466666666667
Viet Nam	2007	24.417025
Bangladesh	2006	25.91455
China	2006	7.427330833333333
Hong Kong	2006	23.508333333333333
India	2006	24.72595833333333
Iran	2006	18.1029025
Israel	2006	20.181725
Japan	2006	11.29029
Pakistan	2006	20.980648333333335
Saudi Arabia	2006	25.4995
South Korea	2006	11.494021666666667
United Arab Emirates	2006	27.62365
Viet Nam	2006	24.794508333333333
Bangladesh	2005	25.559516666666667
China	2005	6.96136
Hong Kong	2005	23.266666666666666
India	2005	24.41905
Iran	2005	17.982000833333334
Israel	2005	20.338583333333332
Japan	2005	11.074335833333333
Pakistan	2005	20.221009166666665
Saudi Arabia	2005	25.443808333333333
South Korea	2005	10.92023
United Arab Emirates	2005	27.654441666666667
Viet Nam	2005	24.654508333333332
Bangladesh	2004	25.444833333333335
China	2004	7.335155833333333
Hong Kong	2004	23.416666666666668
India	2004	24.621191666666668
Iran	2004	18.15086
Israel	2004	20.495891666666665
Japan	2004	11.97146
Pakistan	2004	21.139983333333333
Saudi Arabia	2004	25.498874999999998
South Korea	2004	12.030715833333334
United Arab Emirates	2004	27.909200000000002
Viet Nam	2004	24.476975
Bangladesh	2003	25.326
China	2003	7.0045641666666665
Hong Kong	2003	23.6
India	2003	24.611316666666667
Iran	2003	17.874305833333334
Israel	2003	20.685341666666666
Japan	2003	11.02986
Pakistan	2003	20.3980225
Saudi Arabia	2003	25.78268333333333
South Korea	2003	11.318037499999999
United Arab Emirates	2003	27.863758333333333
Viet Nam	2003	24.796883333333334
Bangladesh	2002	25.414891666666666
China	2002	7.319756666666667
Hong Kong	2002	23.891666666666666
India	2002	24.852958333333333
Iran	2002	18.202340833333334
Israel	2002	20.718066666666665
Japan	2002	11.347449166666667
Pakistan	2002	20.91663
Saudi Arabia	2002	25.48085
South Korea	2002	11.533956666666667
United Arab Emirates	2002	27.6992
Viet Nam	2002	24.767866666666666
Bangladesh	2001	25.551808333333334
China	2001	7.103970833333333
Hong Kong	2001	23.625
India	2001	24.579908333333332
Iran	2001	18.615078333333333
Israel	2001	20.860383333333335
Japan	2001	10.998181666666667
Pakistan	2001	20.9075075
Saudi Arabia	2001	25.597425
South Korea	2001	11.665786666666667
United Arab Emirates	2001	27.672991666666668
Viet Nam	2001	24.574533333333335
Bangladesh	2000	24.84125
China	2000	6.754055
Hong Kong	2000	23.333333333333332
India	2000	24.48335833333333
Iran	2000	18.166915
Israel	2000	19.892683333333334
Japan	2000	11.373478333333333
Pakistan	2000	20.767751666666665
Saudi Arabia	2000	25.346458333333334
South Korea	2000	11.421555
United Arab Emirates	2000	27.640533333333334
Viet Nam	2000	24.332158333333332
Bangladesh	1999	25.67385
China	1999	7.306030833333333
Hong Kong	1999	23.75
India	1999	24.558016666666667
Iran	1999	18.397005
Israel	1999	20.574958333333335
Japan	1999	11.606103333333333
Pakistan	1999	20.9432075
Saudi Arabia	1999	25.898175000000002
South Korea	1999	11.7551825
United Arab Emirates	1999	27.833716666666668
Viet Nam	1999	24.304925
Bangladesh	1998	25.519816666666667
China	1998	7.497015
Hong Kong	1998	23.975
India	1998	24.690716666666667
Iran	1998	18.438890833333332
Israel	1998	20.583858333333332
Japan	1998	11.699760833333334
Pakistan	1998	20.5441075
Saudi Arabia	1998	25.756516666666666
South Korea	1998	12.376535
United Arab Emirates	1998	27.96369166666667
Viet Nam	1998	25.339175
Bangladesh	1997	24.836016666666666
China	1997	6.876461666666667
Hong Kong	1997	23.325
India	1997	23.976675
Iran	1997	17.622035
Israel	1997	19.401616666666666
Japan	1997	11.269165833333334
Pakistan	1997	19.546385
Saudi Arabia	1997	24.784625000000002
South Korea	1997	11.672169166666666
United Arab Emirates	1997	26.919483333333332
Viet Nam	1997	24.560958333333332
Bangladesh	1996	25.3001
China	1996	6.407525
Hong Kong	1996	23.275
India	1996	24.450816666666665
Iran	1996	17.24508416666667
Israel	1996	20.12475
Japan	1996	10.600161666666667
Pakistan	1996	19.912235
Saudi Arabia	1996	25.366641666666666
South Korea	1996	10.937595
United Arab Emirates	1996	27.199491666666667
Viet Nam	1996	24.126791666666666
Bangladesh	1995	25.40425
China	1995	6.800045833333334
Hong Kong	1995	22.766666666666666
India	1995	24.36985
Iran	1995	17.548124166666668
Israel	1995	19.674733333333332
Japan	1995	11.02628
Pakistan	1995	20.014908333333334
Saudi Arabia	1995	25.003608333333332
South Korea	1995	11.103355
United Arab Emirates	1995	27.085591666666666
Viet Nam	1995	24.422883333333335
Bangladesh	1994	25.044441666666668
China	1994	7.0118591666666665
Hong Kong	1994	23.558333333333334
India	1994	24.2381
Iran	1994	17.492595
Israel	1994	19.960908333333332
Japan	1994	11.745355
Pakistan	1994	20.1686375
Saudi Arabia	1994	25.174408333333332
South Korea	1994	12.21015
United Arab Emirates	1994	27.343833333333333
Viet Nam	1994	24.657141666666668
Bangladesh	1993	24.734166666666667
China	1993	6.3996625
Hong Kong	1993	23.083333333333332
India	1993	24.341208333333334
Iran	1993	16.920604166666667
Israel	1993	19.371893333333333
Japan	1993	10.563689166666666
Pakistan	1993	20.4492175
Saudi Arabia	1993	24.768558333333335
South Korea	1993	10.642291666666667
United Arab Emirates	1993	27.107833333333332
Viet Nam	1993	24.361275
Bangladesh	1992	24.804475
China	1992	6.367953333333333
Hong Kong	1992	22.808333333333334
India	1992	24.114783333333335
Iran	1992	16.1695875
Israel	1992	18.5243225
Japan	1992	11.013125
Pakistan	1992	19.780070833333333
Saudi Arabia	1992	23.919366666666665
South Korea	1992	11.276174166666667
United Arab Emirates	1992	26.307933333333335
Viet Nam	1992	24.36355
Bangladesh	1991	24.931258333333332
China	1991	6.572946666666667
Hong Kong	1991	23.483333333333334
India	1991	24.220583333333334
Iran	1991	17.231203333333333
Israel	1991	19.4916
Japan	1991	11.345288333333334
Pakistan	1991	19.8752925
Saudi Arabia	1991	24.796466666666667
South Korea	1991	11.025025
United Arab Emirates	1991	26.690975
Viet Nam	1991	24.807658333333332
Bangladesh	1990	25.365658333333332
China	1990	7.016505
Hong Kong	1990	23.066666666666666
India	1990	24.132208333333335
Iran	1990	17.314605
Israel	1990	19.566025
Japan	1990	11.989591666666668
Pakistan	1990	20.386966666666666
Saudi Arabia	1990	24.981358333333333
South Korea	1990	11.781690833333334
United Arab Emirates	1990	27.290091666666665
Viet Nam	1990	24.412175
Bangladesh	1989	25.350933333333334
China	1989	6.69435
Hong Kong	1989	22.975
India	1989	24.04831666666667
Iran	1989	16.692124166666666
Israel	1989	19.174275
Japan	1989	11.31338
Pakistan	1989	19.567085833333334
Saudi Arabia	1989	24.5585
South Korea	1989	11.538163333333333
United Arab Emirates	1989	26.691325
Viet Nam	1989	24.140475
Bangladesh	1988	25.7246
China	1988	6.74342
Hong Kong	1988	22.783333333333335
India	1988	24.638075
Iran	1988	17.368859999999998
Israel	1988	19.412141666666667
Japan	1988	10.3578675
Pakistan	1988	20.857425
Saudi Arabia	1988	25.174958333333333
South Korea	1988	10.8484475
United Arab Emirates	1988	27.317175
Viet Nam	1988	24.122733333333333
Bangladesh	1987	25.608041666666665
China	1987	6.623119166666666
Hong Kong	1987	23.366666666666667
India	1987	24.651191666666666
Iran	1987	17.354598333333332
Israel	1987	19.324275
Japan	1987	10.912318333333333
Pakistan	1987	20.381349166666666
Saudi Arabia	1987	25.268333333333334
South Korea	1987	10.971681666666667
United Arab Emirates	1987	27.238891666666667
Viet Nam	1987	24.581091666666666
Bangladesh	1986	25.237366666666667
China	1986	6.35989
Hong Kong	1986	22.766666666666666
India	1986	24.12795
Iran	1986	16.559531666666665
Israel	1986	19.369091666666666
Japan	1986	10.051931666666666
Pakistan	1986	19.592456666666667
Saudi Arabia	1986	24.704583333333332
South Korea	1986	10.152105
United Arab Emirates	1986	27.005516666666665
Viet Nam	1986	24.00690833333333
