location	year	temperature_sd
Bangladesh	2013	4.067256922045157
China	2013	10.285148510522639
Hong Kong	2013	4.572869598363413
India	2013	4.418180342312542
Iran	2013	8.753535896905094
Israel	2013	5.609371194057965
Japan	2013	9.154144132847577
Pakistan	2013	7.834112376487756
Saudi Arabia	2013	6.364017479096237
South Korea	2013	10.562266492223518
United Arab Emirates	2013	5.884982857387302
Viet Nam	2013	2.8924290947413143
Bangladesh	2012	4.1174461155606465
China	2012	10.907834880309657
Hong Kong	2012	5.278429518504361
India	2012	4.629590603406689
Iran	2012	9.13873802150096
Israel	2012	6.7828836003844
Japan	2012	9.444329099588257
Pakistan	2012	7.903312193510974
Saudi Arabia	2012	7.06075673738626
South Korea	2012	10.718491704690988
United Arab Emirates	2012	6.00925027655596
Viet Nam	2012	2.7090726820428626
Bangladesh	2011	3.719524043384877
China	2011	10.659685555584762
Hong Kong	2011	5.554905012416477
India	2011	4.321287795734114
Iran	2011	9.283514956058433
Israel	2011	6.011980077060277
Japan	2011	9.162007507622128
Pakistan	2011	7.725660059785958
Saudi Arabia	2011	6.853282973802786
South Korea	2011	10.29069023474999
United Arab Emirates	2011	5.957620921953408
Viet Nam	2011	3.381754787223504
Bangladesh	2010	3.8524092597419415
China	2010	10.251222259529039
Hong Kong	2010	4.540950040765399
India	2010	4.656557995784661
Iran	2010	8.260036524791394
Israel	2010	5.419945739217378
Japan	2010	9.041321892396574
Pakistan	2010	7.28717948493334
Saudi Arabia	2010	6.297392260918703
South Korea	2010	10.262721843442066
United Arab Emirates	2010	5.524725161407662
Viet Nam	2010	2.527815011331951
Bangladesh	2009	3.4728085448694372
China	2009	10.063129519523088
Hong Kong	2009	4.9273510001610275
India	2009	4.153598585673524
Iran	2009	8.577802811112502
Israel	2009	5.991872988675931
Japan	2009	8.071812975181683
Pakistan	2009	7.207366535683958
Saudi Arabia	2009	6.573379070273914
South Korea	2009	9.33702426630097
United Arab Emirates	2009	6.154198852735842
Viet Nam	2009	2.856809420834666
Bangladesh	2008	3.675496626297492
China	2008	10.434228523534282
Hong Kong	2008	5.23417528452104
India	2008	4.0993722220326285
Iran	2008	10.039785095835159
Israel	2008	6.340447773773851
Japan	2008	8.610862192182255
Pakistan	2008	7.816697504680527
Saudi Arabia	2008	7.062136722413452
South Korea	2008	9.620935558364492
United Arab Emirates	2008	6.32814222938919
Viet Nam	2008	3.313617545779381
Bangladesh	2007	3.817789405225427
China	2007	9.723836878737696
Hong Kong	2007	4.433857339731502
India	2007	4.3305118966433636
Iran	2007	9.025829780501633
Israel	2007	6.160064233997053
Japan	2007	8.350579611692178
Pakistan	2007	7.383741972333336
Saudi Arabia	2007	6.852980910584337
South Korea	2007	8.963952197244309
United Arab Emirates	2007	5.903164462978285
Viet Nam	2007	2.6210126537535756
Bangladesh	2006	3.281365291100088
China	2006	10.083642060782006
Hong Kong	2006	4.614100588676438
India	2006	3.9972459069756185
Iran	2006	9.205099926343326
Israel	2006	6.045985957209355
Japan	2006	8.667117311186733
Pakistan	2006	7.444015690743359
Saudi Arabia	2006	6.910146399317456
South Korea	2006	9.410199928042136
United Arab Emirates	2006	5.9159914517579155
Viet Nam	2006	2.5279986530701004
Bangladesh	2005	3.6388894389343407
China	2005	10.61588876830557
Hong Kong	2005	5.202330480106241
India	2005	4.488811073101651
Iran	2005	8.873722107430414
Israel	2005	5.596792068974274
Japan	2005	9.202075837473213
Pakistan	2005	7.669736927366434
Saudi Arabia	2005	6.468693785169298
South Korea	2005	10.682132202675474
United Arab Emirates	2005	5.604694409552559
Viet Nam	2005	2.971725865693761
Bangladesh	2004	3.7259403321561493
China	2004	9.745179333586108
Hong Kong	2004	4.663754502609036
India	2004	4.344827554158943
Iran	2004	8.264641483651358
Israel	2004	5.85792241428157
Japan	2004	8.532645344930472
Pakistan	2004	6.929321635541814
Saudi Arabia	2004	6.310277042776403
South Korea	2004	9.247793460605967
United Arab Emirates	2004	5.2407647981082794
Viet Nam	2004	2.737412458749719
Bangladesh	2003	3.989104495999071
China	2003	9.874533050850333
Hong Kong	2003	4.777789523123923
India	2003	4.430061515237443
Iran	2003	8.65221292906719
Israel	2003	6.236430521825814
Japan	2003	8.190013708363486
Pakistan	2003	7.2931001752143345
Saudi Arabia	2003	6.553502787452792
South Korea	2003	9.030249395344038
United Arab Emirates	2003	5.592555189870049
Viet Nam	2003	2.9405586991817274
Bangladesh	2002	3.3858377296826303
China	2002	9.743847951081127
Hong Kong	2002	4.387473560310562
India	2002	4.425325874894995
Iran	2002	8.72472251894732
Israel	2002	6.008930583016844
Japan	2002	8.331743953872996
Pakistan	2002	7.48132621606381
Saudi Arabia	2002	6.642988673440182
South Korea	2002	8.930406477714554
United Arab Emirates	2002	5.458624224272833
Viet Nam	2002	2.5119473616855093
Bangladesh	2001	3.5977899012533525
China	2001	10.364514121238575
Hong Kong	2001	4.495881954128083
India	2001	4.11399955130115
Iran	2001	8.707789199080048
Israel	2001	5.7616512457696345
Japan	2001	8.99217920646687
Pakistan	2001	7.319154330369453
Saudi Arabia	2001	6.653276292600649
South Korea	2001	10.290325340686255
United Arab Emirates	2001	5.622785356590439
Viet Nam	2001	2.7067828526712576
Bangladesh	2000	3.878799688868148
China	2000	10.64822429926699
Hong Kong	2000	4.8651512792200995
India	2000	4.309227371257749
Iran	2000	9.087423619658004
Israel	2000	6.523139946352291
Japan	2000	9.015806799080293
Pakistan	2000	7.621340245964656
Saudi Arabia	2000	6.892860510499032
South Korea	2000	9.942005089459846
United Arab Emirates	2000	5.781594368390614
Viet Nam	2000	2.6970490616289005
Bangladesh	1999	3.540602112507265
China	1999	9.775865692169447
Hong Kong	1999	4.5725465353763015
India	1999	4.293675758354231
Iran	1999	8.67386850852553
Israel	1999	5.849310411175652
Japan	1999	8.903658554391441
Pakistan	1999	7.384361528622652
Saudi Arabia	1999	6.432676836155309
South Korea	1999	9.425558493233487
United Arab Emirates	1999	5.493008387004062
Viet Nam	1999	2.8492102319207366
Bangladesh	1998	3.935743479915449
China	1998	9.991727977800164
Hong Kong	1998	4.746314359584709
India	1998	4.6330564778523575
Iran	1998	9.011392068261008
Israel	1998	6.142556906971134
Japan	1998	8.555421606198513
Pakistan	1998	7.519297869382032
Saudi Arabia	1998	6.850761168570094
South Korea	1998	9.101931726458849
United Arab Emirates	1998	5.908759429318528
Viet Nam	1998	2.5372134966336586
Bangladesh	1997	3.8770060899507435
China	1997	10.113560845155858
Hong Kong	1997	4.4163178821687685
India	1997	4.349951259941155
Iran	1997	9.113614907256764
Israel	1997	6.111522480726407
Japan	1997	8.182862807490318
Pakistan	1997	7.415456524447617
Saudi Arabia	1997	6.7847905388885
South Korea	1997	9.602003300126736
United Arab Emirates	1997	5.902701283439232
Viet Nam	1997	2.712309800774755
Bangladesh	1996	3.750337244471852
China	1996	10.111255588466747
Hong Kong	1996	4.944257458727429
India	1996	4.3505178485561995
Iran	1996	8.814787410894427
Israel	1996	5.8116883141570055
Japan	1996	8.527248847731746
Pakistan	1996	7.389484454305812
Saudi Arabia	1996	6.484170338245194
South Korea	1996	9.80638505148327
United Arab Emirates	1996	5.7412978772555245
Viet Nam	1996	2.977808466109487
Bangladesh	1995	4.033711337195336
China	1995	10.051319195920556
Hong Kong	1995	5.067962354264525
India	1995	4.667965896989239
Iran	1995	8.736159515076569
Israel	1995	6.157288194907846
Japan	1995	8.714366149011433
Pakistan	1995	7.64027859480843
Saudi Arabia	1995	6.5492215946155605
South Korea	1995	9.727949515282335
United Arab Emirates	1995	5.655597263123632
Viet Nam	1995	3.1391721731093765
Bangladesh	1994	3.9435005523377162
China	1994	10.105026423920702
