Sample	posterior	likelihood	prior	structuredCoalescent.t:h9n2_526_asia_b2	treeHeight.t:h9n2_526_asia_b2	clockRate.c:h9n2_526_asia_b2	kappa.s:h9n2_526_asia_b2	gammaShape.s:h9n2_526_asia_b2	Ne.0.0	Ne.1.0	Ne.2.0	Ne.3.0	Ne.4.0	Ne.5.0	Ne.6.0	Ne.7.0	Ne.8.0	Ne.9.0	Ne.10.0	Ne.11.0	RootProbability.0	RootProbability.1	RootProbability.2	RootProbability.3	RootProbability.4	RootProbability.5	RootProbability.6	RootProbability.7	RootProbability.8	RootProbability.9	RootProbability.10	RootProbability.11	sum(mig_glm_indicator)	sum(ne_glm_indicator)	mig_glm_beta1	mig_glm_beta2	mig_glm_beta3	mig_glm_beta4	mig_glm_beta5	mig_glm_beta6	mig_glm_beta7	mig_glm_beta8	mig_glm_beta9	mig_glm_beta10	mig_glm_beta11	mig_glm_clock	mig_glm_indicator1	mig_glm_indicator2	mig_glm_indicator3	mig_glm_indicator4	mig_glm_indicator5	mig_glm_indicator6	mig_glm_indicator7	mig_glm_indicator8	mig_glm_indicator9	mig_glm_indicator10	mig_glm_indicator11	ne_glm_alpha1	ne_glm_alpha2	ne_glm_alpha3	ne_glm_alpha4	ne_glm_alpha5	ne_glm_alpha6	ne_glm_alpha7	ne_glm_alpha8	ne_glm_alpha9	ne_glm_alpha10	ne_glm_alpha11	ne_glm_alpha12	ne_glm_beta1	ne_glm_beta2	ne_glm_beta3	ne_glm_beta4	ne_glm_clock	ne_glm_indicator1	ne_glm_indicator2	ne_glm_indicator3	ne_glm_indicator4	migrationGLMscaler.trade	migrationGLMscaler.productFrom	migrationGLMscaler.productTo	migrationGLMscaler.shareBorder	migrationGLMscaler.distance	migrationGLMscaler.tempFrom	migrationGLMscaler.tempTo	migrationGLMscaler.rainFrom	migrationGLMscaler.rainTo	migrationGLMscaler.rainSeasonFrom	migrationGLMscaler.rainSeasonTo	NeGLMscaler.poultryProduction	NeGLMscaler.temperature	NeGLMscaler.rain	NeGLMscaler.rainSeason
10000	-2267.0727779645304	0.0	-2267.0727779645304	-2152.6566628926766	46.06003300334383	0.00341	8.727	0.469	10.514344016250947	30.74146391161814	11.256274781092648	11.262763823728882	10.079752186249289	5.5524972303283135	9.027255041590411	14.753137183486665	6.025617100438412	11.173475350055298	3.247575395633273	8.850647452478738	7.663517483867833E-7	4.3106755820463384E-6	0.9896710751007941	1.5654227863915484E-8	5.728672954793106E-8	1.0754239791710201E-7	0.010024940859904118	4.200460687961138E-6	2.3804215249196748E-6	1.130986524334435E-5	3.610500761039922E-7	2.804747310834768E-4	4	0	1.7656040661961212	-2.1977365707630536	-0.08593526750091818	2.4545029939449594	-0.7101839382792754	-2.019784009109955	-2.2348967468282916	-1.068090170761346	6.457245466482922	-1.6237089020016637	-1.6705409363823747	6.617549044691097E-4	0	1	0	1	1	0	0	0	0	1	0	0.3508320950892462	1.423704032746616	0.41901740488165384	0.41959372103170933	0.30862035104475816	-0.28766054862769574	0.19834001251304464	0.689547423977542	-0.20588842915767502	0.4116343705933772	-0.8239996407903967	0.17858228821729674	0.32930377224664964	-2.418052782448926	0.9323854443158469	-0.7592307008296604	7.4031702941878015	0	0	0	0	0.0	-2.1977365707630536	0.0	2.4545029939449594	-0.7101839382792754	0.0	0.0	0.0	0.0	-1.6237089020016637	0.0	0.0	0.0	0.0	0.0
20000	-2267.1569877881025	0.0	-2267.1569877881025	-2153.562884847211	46.06003300334383	0.00341	8.727	0.469	13.400687885549505	33.64994909414945	9.364404530119081	10.599066479098985	9.748285375751559	6.397020327591723	7.505106076694603	11.339481639353288	4.865648880386701	13.036216549630272	3.7587329678556847	6.3986519579085686	1.5557945660326576E-5	1.0453003474232977E-4	0.7984196152642786	3.7761889595720417E-7	2.387245362385319E-6	2.516935939539678E-6	0.1990329126705638	1.1780566996011472E-4	7.113002837340747E-5	1.5119585416843967E-4	4.49613558674895E-6	0.0020774745964683827	4	2	1.4338648649371983	-1.9491630237500632	2.469517674241342	2.4125511464314062	-0.4871088171228749	-1.3652664785117175	-6.868401003016062	-2.6617891190498524	-6.379699221254613	-1.6718479353178843	0.13185534259163464	0.0010708931430252141	0	1	0	1	1	0	0	0	0	1	0	0.24801115813476726	0.8492409539290526	0.3028333478175956	-0.07944191556419083	-0.1566161176670624	-0.31726715978603326	-0.39247277944644343	0.06705381550694656	-0.7236539404260584	0.2757310608416318	-0.7470607601727441	-0.5017884523243417	0.18658849595546873	0.15971961752876454	0.5834837515209635	-0.003920067419884682	10.134485926908347	1	0	0	1	0.0	-1.9491630237500632	0.0	2.4125511464314062	-0.4871088171228749	0.0	0.0	0.0	0.0	-1.6718479353178843	0.0	0.18658849595546873	0.0	0.0	-0.003920067419884682
30000	-2265.9269404489137	0.0	-2265.9269404489137	-2149.092766466857	46.06003300334383	0.00341	8.727	0.469	12.053588884868212	33.247872208579984	10.735010561106334	7.547274647930914	9.477546716000147	4.780027489904326	9.22757775567569	16.264795290117426	6.517567163194033	9.227826523138216	2.6162220254831463	7.182971997625588	7.87396559488202E-8	6.442853212936786E-8	0.9996961296294172	1.5702469137458925E-9	4.668918725416141E-9	1.3221843473222942E-9	2.6873049484176924E-4	2.260034568057289E-7	5.5960722524507376E-8	5.020590506975287E-6	2.906639779135208E-9	2.9683684877005016E-5	6	2	-3.616147773875163	-1.471070651569341	-0.0017049310071193813	2.1604217405273376	-0.9561869440774362	-3.1086350177738833	-5.513512845584789	3.65885253854339	-0.16946800706939097	-1.4746308423766723	-1.1003485233215242	6.268706350912704E-4	0	1	0	1	1	0	0	0	1	1	1	-0.17987737800488823	0.7857623970695462	0.3072072190940472	-0.5424719463367067	0.17074978461320853	-0.1786894314650062	-0.4163507209437985	0.7072166215508275	0.31971612967321233	-0.2159403102108463	-0.20890559627632976	-0.642080106892031	0.276980996832392	-1.1350963069981306	0.39603452909226416	0.7771572023280939	8.977347924691818	1	0	1	0	0.0	-1.471070651569341	0.0	2.1604217405273376	-0.9561869440774362	0.0	0.0	0.0	-0.16946800706939097	-1.4746308423766723	-1.1003485233215242	0.276980996832392	0.0	0.39603452909226416	0.0
40000	-2274.1547788562216	0.0	-2274.1547788562216	-2157.9999910307033	46.06003300334383	0.00341	8.727	0.469	14.20847601635251	29.709129401295403	13.929333987929619	4.442051876236572	7.62977217556947	4.838596343562128	7.782577288994322	9.694488744582035	4.963809386245374	10.432009974697303	3.972746972418123	6.569784173527084	9.967547546341874E-8	2.069615903916989E-6	0.9879455973658987	2.7948136633425616E-10	3.4802884524952516E-9	3.5142368076218468E-9	0.011970800820936944	4.038939618752823E-7	2.502794906214426E-7	1.6730019272050237E-6	1.9631271193378696E-8	7.907844112749914E-5	4	0	3.0413794810345394	-2.408656280261397	2.263431514545955	3.277674738576194	-0.8697607083741157	2.381049153707212	-6.404178796248932	-4.506845062773081	5.704940164932334	-2.0750878566155335	-3.2054595720945844	2.453294869448434E-4	0	1	0	1	1	0	0	0	0	1	0	0.09492562053124301	0.8325413172633424	0.07508390674070266	-1.0677966645800463	-0.5268550827441034	-0.9822884015542248	-0.5070255141494209	-0.28735551518295754	-0.9567396011807899	-0.21403410721322524	-1.1794552805374037	-0.6764320869038893	-0.6801903853621291	-0.39882248000182485	0.8465738727081074	1.6416462143023391	12.921764607556193	0	0	0	0	0.0	-2.408656280261397	0.0	3.277674738576194	-0.8697607083741157	0.0	0.0	0.0	0.0	-2.0750878566155335	0.0	0.0	0.0	0.0	0.0
50000	-2269.8860842236572	0.0	-2269.8860842236572	-2157.099547240632	46.06003300334383	0.00341	8.727	0.469	13.998443055470892	30.937012680625468	14.02098532328671	6.1921704782000955	10.929105758586546	6.030791375569468	9.084189381744846	7.486674409025833	16.57585645013847	11.032663797550018	7.604424939190482	8.565687430316489	2.5354254026468413E-6	5.312522742990705E-6	0.9999504630959509	6.722341981019367E-8	3.126945005895333E-8	5.043382728470435E-7	3.610527165721265E-7	1.5355462568740728E-7	2.818529534654228E-7	2.281388890114314E-5	9.067080169496707E-6	8.408695394503333E-6	4	0	4.300566611938313	-1.4338130896535262	-3.8370282733203	2.423996084383908	-0.9460841378329748	-0.33256259318757975	2.860939617490217	-2.338838066820438	-1.9461376033076476	2.5299442708006983	-0.4737161922883928	7.303786444006925E-4	0	1	0	1	1	0	0	0	0	0	1	0.27428161947352997	1.067288794833596	0.27589066533803835	-0.5413788257164079	0.026764989890621135	-0.5677862517763835	-0.158129021771607	-0.35153979883919195	0.44328271230302907	0.036195815238216494	-0.33593418693020644	-0.21690010467961507	2.0964986293722623	0.6355691970114392	-0.7507874221881734	-0.011351288971095507	10.640468273729237	0	0	0	0	0.0	-1.4338130896535262	0.0	2.423996084383908	-0.9460841378329748	0.0	0.0	0.0	0.0	0.0	-0.4737161922883928	0.0	0.0	0.0	0.0
60000	-2269.8747609313546	0.0	-2269.8747609313546	-2151.0659057265543	46.06003300334383	0.00341	8.727	0.469	13.102894407528153	28.36678974474773	10.789243542927268	7.711841677347766	10.323099260442838	8.126341230947252	10.591161869097773	12.871548480191553	8.661872859332876	11.661644906315997	3.456221593089882	7.623037671644343	1.193846418677904E-7	1.6144638329108696E-7	0.9991301544294144	3.0070352791967217E-9	5.0579247074945814E-8	2.1307384514272443E-7	8.525926262444752E-4	1.893348842423026E-6	5.637279953421521E-6	1.3505227087772171E-6	4.086460038292137E-7	7.415655680018659E-6	5	0	3.462819731207765	-2.1754376986268538	-3.3001910585260097	2.13113491635889	-0.8124873584054113	6.3467464064210795	7.358997292299835	-2.4275400013725084	-4.25060741797742	-1.6782771503895686	-0.5947019528740709	4.718722808444749E-4	0	1	0	1	1	0	0	0	0	1	1	0.04381271938576218	0.8161986521739029	-0.15047076397891287	-0.4862634058477123	-0.19463640265367632	-0.4339096443850573	-0.1690005661646523	0.02599889784604968	-0.3700894688514644	-0.07271519000028054	-1.2888444662984435	-0.4978454987220063	1.8666571861312964	0.8492359593622847	-0.5479105747435583	1.6578982887724432	12.541215164193016	0	0	0	0	0.0	-2.1754376986268538	0.0	2.13113491635889	-0.8124873584054113	0.0	0.0	0.0	0.0	-1.6782771503895686	-0.5947019528740709	0.0	0.0	0.0	0.0
70000	-2262.985501782738	0.0	-2262.985501782738	-2147.0066661804703	46.06003300334383	0.00341	8.727	0.469	11.937857299302749	34.58248991123888	13.587357396939442	4.9549556555111165	9.86232757514776	5.328380499137943	8.757215417158058	9.315456212660948	7.103695693855893	8.382874088167725	3.139846273423118	8.464816311981307	8.759277275504712E-5	1.2446095060590675E-11	0.9987342255605396	5.134391023468561E-7	6.148416578258216E-8	3.339551424969918E-7	8.758377052075491E-8	5.934409851545588E-6	9.854316102287003E-5	6.636661700449665E-9	1.3373994611062814E-4	9.389610384316764E-4	5	0	3.3204822730794854	-1.743151057483987	-8.73438381073176	2.5143911269604895	-0.8085832396463708	2.6155189356415356	3.59302542844905	1.1712996411259304	0.1658546310921848	-1.3497185978102662	-0.710761542913041	6.630735176314755E-4	0	1	0	1	1	0	0	0	0	1	1	0.08872401724514967	1.1523568630911234	0.21814913828137839	-0.7906024006462813	-0.10226841580101098	-0.7179432732538988	-0.22111263928365932	-0.15931563996009088	-0.43037545006044087	-0.2647997933037655	-1.2468167777322816	-0.2550723033026425	0.730756985202498	-0.9359362718335983	0.2287242671422655	-0.9460731237513006	10.924310413518475	0	0	0	0	0.0	-1.743151057483987	0.0	2.5143911269604895	-0.8085832396463708	0.0	0.0	0.0	0.0	-1.3497185978102662	-0.710761542913041	0.0	0.0	0.0	0.0
80000	-2275.2386774966303	0.0	-2275.2386774966303	-2161.9650210179334	46.06003300334383	0.00341	8.727	0.469	15.540974697861671	27.038239059086187	15.956386007654963	5.606555345470529	12.348859426661685	5.198080779678715	7.172961292930356	6.295461963033478	11.329559806264673	12.103125191396007	4.76273192078037	3.854716585068538	2.2031467139171114E-6	7.900740928111886E-6	0.9999536614896515	7.921179651832268E-8	8.299040560930349E-8	8.794582775692937E-7	3.528075075312171E-7	2.0648067665095808E-7	4.889349031544359E-7	2.6823432373777868E-5	5.655745878281276E-6	1.6655608872782237E-6	4	0	2.0527968974497552	-1.288908471490921	5.814629999099153	2.5061960896439452	-0.6093873723870509	-1.0608254190852793	-2.630802717456919	-1.7135372546489003	-5.2604788093335575	1.2429586944773199	-0.8443476474385053	6.871092873347488E-4	0	1	0	1	1	0	0	0	0	0	1	0.9237298339286716	1.4775018945856118	0.9501088948429753	-0.09581372038238341	0.6938134737786035	-0.17146075428474392	0.15056834999801047	0.02007881959795225	0.6076649913203594	0.6737134686207316	-0.25892879437015237	-0.4704527453903272	-1.232883530177574	0.28463712086870413	1.1328097090554494	0.3387584012863784	6.1703171029381245	0	0	0	0	0.0	-1.288908471490921	0.0	2.5061960896439452	-0.6093873723870509	0.0	0.0	0.0	0.0	0.0	-0.8443476474385053	0.0	0.0	0.0	0.0
90000	-2271.2889372951404	0.0	-2271.2889372951404	-2155.763944761337	46.06003300334383	0.00341	8.727	0.469	10.40152775508904	30.903908874312695	12.557355386264692	5.591316758775877	7.993321015734817	5.314261520921592	6.876970388880596	12.08208331502449	11.199175597448665	11.089491416941454	1.9873132747782014	5.142989145596772	7.993972112752064E-7	1.0442575672452934E-6	0.9999656218798334	2.5537531368757646E-8	9.660234325010814E-9	1.981333022291989E-7	7.835473666430211E-10	7.967167649100514E-8	4.996616596056405E-8	3.0033264495223397E-5	1.973194028480634E-6	1.6425440645014878E-7	4	0	-6.524421935651186	-1.2689648451241549	-0.7380084658918605	2.537210326294366	-0.7067193072130824	1.4896941374154136	-9.43971861921371	3.4202105761827477	-0.8504847235456006	0.20899349543502313	-0.6194807175974102	8.885149046551301E-4	0	1	0	1	1	0	0	0	0	0	1	0.758976299342396	1.8479062811459244	0.9473301849070562	0.13823842001561548	0.49562992440205905	0.08741766415462636	0.34520180896507346	0.9087472419461544	0.8328637726771944	0.8230215451581222	-0.8961927822083843	0.054658060726727964	-0.670879761117185	0.0563100443918942	0.425908125315268	0.28380737980992177	4.869427606289969	0	0	0	0	0.0	-1.2689648451241549	0.0	2.537210326294366	-0.7067193072130824	0.0	0.0	0.0	0.0	0.0	-0.6194807175974102	0.0	0.0	0.0	0.0
100000	-2278.430081648043	0.0	-2278.430081648043	-2156.3097055914386	46.06003300334383	0.00341	8.727	0.469	14.59207591442927	35.10089364075024	12.674660957194142	11.770473966149247	9.71272792381713	6.842126548484362	12.742738373904565	10.061163525197276	4.881654834050764	11.991551310107777	2.9444083810090187	5.444193166755932	2.2510057712858765E-7	1.1801537970966082E-4	0.0025425846656177012	8.853448534209458E-9	8.072089056310099E-8	1.6113697430533773E-7	0.9881564421448789	1.3919202698085202E-6	1.6513538887908434E-7	0.009180023105914514	5.146788032797541E-10	9.013216513253705E-7	4	1	1.5501645986494208	-1.79507373287865	-1.9237242225757918	2.3207213747426696	-0.6779234416189873	8.475497278023049	4.094981408780933	2.656456538976755	-2.6582620709000664	-1.18571952804783	0.3627960465663251	8.684568295382086E-4	0	1	0	1	1	0	0	0	0	1	0	0.8944713327744265	1.5775514756521456	0.8291078306123781	0.7255717872490471	0.4032537702406766	0.313892811192039	0.2788981699864004	0.3591350267014563	-0.3580568364065085	0.6961464359594995	-0.4708382431311578	-0.34110439309198304	-3.124402066006016	1.1622313210991368	2.4768903690345763	-0.19786731836434776	6.375844845899208	0	0	0	1	0.0	-1.79507373287865	0.0	2.3207213747426696	-0.6779234416189873	0.0	0.0	0.0	0.0	-1.18571952804783	0.0	0.0	0.0	0.0	-0.19786731836434776
