Sample	posterior	likelihood	prior	structuredCoalescent.t:h9n2_526_asia_b2	treeHeight.t:h9n2_526_asia_b2	clockRate.c:h9n2_526_asia_b2	kappa.s:h9n2_526_asia_b2	gammaShape.s:h9n2_526_asia_b2	Ne.0.0	Ne.1.0	Ne.2.0	Ne.3.0	Ne.4.0	Ne.5.0	Ne.6.0	Ne.7.0	Ne.8.0	Ne.9.0	Ne.10.0	Ne.11.0	RootProbability.0	RootProbability.1	RootProbability.2	RootProbability.3	RootProbability.4	RootProbability.5	RootProbability.6	RootProbability.7	RootProbability.8	RootProbability.9	RootProbability.10	RootProbability.11	sum(mig_glm_indicator)	sum(ne_glm_indicator)	mig_glm_beta1	mig_glm_beta2	mig_glm_beta3	mig_glm_beta4	mig_glm_beta5	mig_glm_beta6	mig_glm_beta7	mig_glm_beta8	mig_glm_beta9	mig_glm_beta10	mig_glm_beta11	mig_glm_beta12	mig_glm_beta13	mig_glm_clock	mig_glm_indicator1	mig_glm_indicator2	mig_glm_indicator3	mig_glm_indicator4	mig_glm_indicator5	mig_glm_indicator6	mig_glm_indicator7	mig_glm_indicator8	mig_glm_indicator9	mig_glm_indicator10	mig_glm_indicator11	mig_glm_indicator12	mig_glm_indicator13	ne_glm_alpha1	ne_glm_alpha2	ne_glm_alpha3	ne_glm_alpha4	ne_glm_alpha5	ne_glm_alpha6	ne_glm_alpha7	ne_glm_alpha8	ne_glm_alpha9	ne_glm_alpha10	ne_glm_alpha11	ne_glm_alpha12	ne_glm_beta1	ne_glm_beta2	ne_glm_beta3	ne_glm_beta4	ne_glm_beta5	ne_glm_clock	ne_glm_indicator1	ne_glm_indicator2	ne_glm_indicator3	ne_glm_indicator4	ne_glm_indicator5	migrationGLMscaler.trade	migrationGLMscaler.productFrom	migrationGLMscaler.productTo	migrationGLMscaler.shareBorder	migrationGLMscaler.distance	migrationGLMscaler.tempFrom	migrationGLMscaler.tempTo	migrationGLMscaler.rainFrom	migrationGLMscaler.rainTo	migrationGLMscaler.rainSeasonFrom	migrationGLMscaler.rainSeasonTo	migrationGLMscaler.sampleFrom	migrationGLMscaler.sampleTo	NeGLMscaler.poultryProduction	NeGLMscaler.temperature	NeGLMscaler.rain	NeGLMscaler.rainSeason	NeGLMscaler.sampleSize
10000	-2255.0258895768466	0.0	-2255.0258895768466	-2127.0482776271547	46.06003300334383	0.00341	8.727	0.469	11.913764282999022	38.398131670343105	6.505864897018773	7.074071830378276	11.421940287287761	4.912434836780604	25.192975195686945	7.988868542926041	7.670521356741469	7.148099008364226	3.3600928914536277	6.604841861237819	1.589483430150548E-7	2.2779430944159967E-15	7.738843591511495E-7	8.624667410896777E-9	3.755932399641241E-9	7.614234139383122E-12	6.504273628909988E-8	1.4560037214035045E-4	0.9998263428203092	6.120357445750496E-14	5.664848619702837E-8	2.698989534827239E-5	6	1	-0.2728922861224852	-1.537210368829674	-0.7517777931276173	1.7554832617001914	-1.6158592538224652	4.227260505946552	2.068344926974958	-1.0156841227785833	3.2855449475691803	-4.07386044851493	-1.6262419924202747	7.845688792117226	-6.136987272768758	4.1980268778536416E-5	0	1	0	1	1	1	0	0	0	1	1	0	0	0.3737040840544364	2.026999819449357	-0.8613223491386123	-0.003978315722501387	0.46122821808451203	-0.7734259638085736	1.2010023110540478	-0.009564421368157433	-0.13479725003555293	-0.22182141613205247	-1.307475817823414	-0.20756424901864748	-0.28553018477542236	-0.5111154998612969	-2.1187290360535482	-0.6138383264124897	-0.9551707554298413	8.619109763994377	1	0	0	0	0	0.0	-1.537210368829674	0.0	1.7554832617001914	-1.6158592538224652	4.227260505946552	0.0	0.0	0.0	-4.07386044851493	-1.6262419924202747	0.0	0.0	-0.28553018477542236	0.0	0.0	0.0	0.0
20000	-2253.1369239729365	0.0	-2253.1369239729365	-2132.208996009617	46.06003300334383	0.00341	8.727	0.469	9.939115141738085	34.330523550117945	4.449774198792557	5.114423661072785	10.187793895918402	6.35457030100781	12.28408534860125	7.152576443825703	5.82941576303437	10.104950416462145	5.702892720198231	10.285329690217592	6.346208466477192E-5	7.92556063761528E-9	2.700074680097415E-4	1.5334409671019504E-7	3.834991516356934E-8	6.6653823863946405E-12	2.9342713473083404E-4	1.0047845676492945E-5	2.353247804093253E-5	1.6250210672412026E-10	1.211604501147554E-9	0.9993393219885328	5	0	-1.7926893580394034	-4.605776424160567	4.14984332936	1.8403007152529969	-1.6065691836506717	3.0448815181382254	1.4265361772908656	0.483096283157842	1.7468120247206034	-3.143979597137478	-1.0055951543345796	4.030392612427799	-3.325168157932413	1.0087810570976045E-4	0	0	0	1	1	1	0	0	0	1	1	0	0	-0.05703104615590213	1.182525814950499	-0.8606556898696389	-0.7214443260929659	-0.03231871608603489	-0.5043347564524164	0.1547955075870841	-0.3860364093237988	-0.5905922597476743	-0.040483598904510795	-0.6125355020358034	-0.022790464883180345	-0.91426881771292	-1.5330602085549654	0.7884079409604399	-0.947309629625466	-0.5741904302984169	10.522428670880863	0	0	0	0	0	0.0	0.0	0.0	1.8403007152529969	-1.6065691836506717	3.0448815181382254	0.0	0.0	0.0	-3.143979597137478	-1.0055951543345796	0.0	0.0	0.0	0.0	0.0	0.0	0.0
30000	-2255.6346828828905	0.0	-2255.6346828828905	-2131.428559151932	46.06003300334383	0.00341	8.727	0.469	15.51292425474025	31.015059634047923	6.520140589673557	5.458220778445524	11.406426237928713	5.52474652067165	12.019738939479984	7.09057935701906	5.508258596052304	6.350269449654431	4.101544667823283	11.533670751599196	1.1432780594143538E-4	2.8313861298915728E-9	4.757139188754727E-4	5.189396280789598E-7	5.0741423428698274E-8	6.918011788648303E-12	2.0078617710685983E-4	1.223248623071817E-5	3.397983003378872E-5	5.907291707288625E-11	6.671455410777631E-10	0.9991623865362376	5	0	-2.0633263939513222	6.182447465482424	3.691001858080494	1.4548578062172826	-1.5171228431150763	3.10058145162081	-1.7400656689388996	1.7320842159158683	0.26699895264812396	-3.21302365658375	-0.9856127977233671	9.24229394935861	1.569137962514232	1.1618497422301886E-4	0	0	0	1	1	1	0	0	0	1	1	0	0	0.4203168558128889	1.113116237610238	-0.44646070502214275	-0.6242337716638067	0.1128202580982919	-0.6121192758217026	0.16519356646434735	-0.3625895916847878	-0.6151081146229199	-0.4728593985408063	-0.9099929925535557	0.1239140053250308	0.10258715296213977	-1.4343084269819946	1.7148443534644047	-1.0199689043718099	0.7864735295144392	10.189488437413031	0	0	0	0	0	0.0	0.0	0.0	1.4548578062172826	-1.5171228431150763	3.10058145162081	0.0	0.0	0.0	-3.21302365658375	-0.9856127977233671	0.0	0.0	0.0	0.0	0.0	0.0	0.0
40000	-2257.6288332342547	0.0	-2257.6288332342547	-2131.23805783833	46.06003300334383	0.00341	8.727	0.469	15.352394799357997	29.100660661545188	6.835661079800342	10.856698971363588	12.480042397866344	4.991212711868785	11.159036313903353	7.5411306639474285	7.181268913851913	8.770961796327871	3.3423821480193587	11.564687261349246	1.628176457333718E-5	1.148614419831451E-11	1.2243348615831423E-4	7.670322463257098E-8	2.462339698460505E-9	4.249743052111918E-14	1.460264243801191E-4	2.4199695821967633E-6	6.234035759490934E-6	4.194881583607627E-12	2.5821095686799568E-12	0.9997065251356766	5	0	-9.302933383565177	5.789410329510708	2.9243569216079033	1.8378757237431953	-1.8762099649020487	3.486454625979114	2.543638652731535	0.3879024204605547	5.951380700349647	-3.943039047060583	-1.1598181398605174	-1.7386919360263993	-3.8844414795417532	3.0928924735138025E-5	0	0	0	1	1	1	0	0	0	1	1	0	0	0.5576517494494524	1.197141151663132	-0.2514665401084079	0.21116258077623895	0.3505110347979573	-0.5659408167350646	0.23862987602137373	-0.15324759919411857	-0.2021436290083387	-0.0021732561230511094	-0.9669359546630757	0.27433652809506864	-0.8334855699858459	-2.6480404240606723	0.031643715571747943	1.3817412065576506	0.4920495900548377	8.790044070580938	0	0	0	0	0	0.0	0.0	0.0	1.8378757237431953	-1.8762099649020487	3.486454625979114	0.0	0.0	0.0	-3.943039047060583	-1.1598181398605174	0.0	0.0	0.0	0.0	0.0	0.0	0.0
50000	-2254.0634180002226	0.0	-2254.0634180002226	-2128.4163032060364	46.06003300334383	0.00341	8.727	0.469	13.711335773995424	31.54651714764651	8.373629966652416	7.783432377922881	10.341517810521001	4.983118163379665	19.35566764556573	11.775733472390131	6.8123652549735985	6.9220909538886275	4.808279219147676	9.427778887758812	2.4613508876696533E-6	8.146330697688348E-13	0.3004384703739031	2.4229013703471734E-8	3.382237444860025E-8	3.130151846061749E-11	0.001575769742091293	6.670654425528165E-5	0.007255410172063615	8.239694231330978E-13	3.2949475994923007E-9	0.6906611204375233	6	0	-2.080976373492497	-1.1963705724307219	4.1654453167875385	2.0172088529903824	-1.6377850763585382	3.8638328800974553	-4.446936462745429	-4.6915930123985055	4.77300397070253	-4.408442012445522	-1.1677164554940536	3.096485519733552	4.069278857927154	2.9321022824428246E-5	0	1	0	1	1	1	0	0	0	1	1	0	0	0.351329909410296	1.1845701813247689	-0.14180553179399435	-0.21489558947134751	0.06927363844133094	-0.660837177732842	0.6960922681160112	0.19914791855923236	-0.34815362934480104	-0.3321751250973987	-0.6965537406394365	-0.023232477972929957	0.2709322309755583	-2.3963575410617683	-1.04024521871473	1.0253210458243547	-0.6112269896212725	9.649373684192561	0	0	0	0	0	0.0	-1.1963705724307219	0.0	2.0172088529903824	-1.6377850763585382	3.8638328800974553	0.0	0.0	0.0	-4.408442012445522	-1.1677164554940536	0.0	0.0	0.0	0.0	0.0	0.0	0.0
60000	-2257.215419194228	0.0	-2257.215419194228	-2137.423411568136	46.06003300334383	0.00341	8.727	0.469	11.526278943809194	25.958656606106572	6.2489138534578155	4.411399529559943	11.793940298963467	6.774271860642964	25.034181311715297	7.5395374626435885	5.882840127605592	9.078492799358946	8.134778199839687	10.004991419387562	3.258579259664932E-6	4.401991936048991E-9	0.012781752484835797	1.814863241909199E-7	1.0868698768220595E-5	2.9299467031045035E-8	2.7261338001479096E-5	7.675535807344826E-5	0.04266898079579546	2.0384605209387402E-11	0.0015937388994518718	0.9428371686376463	5	1	0.5143172182164206	0.500023711972852	-4.122397784705965	1.6413261944442383	-2.1582206464546836	3.341245915213435	2.1054877158502174	-1.9262464977274394	2.428601948595962	-3.0147159857299033	-1.597466391280859	1.1893467201353232	6.693267582600131	5.7029474684548916E-5	0	0	0	1	1	1	0	0	0	1	1	0	0	0.061190673730429114	0.945928812201877	-0.6460784453422883	-0.8775870535625367	0.103710874313406	-0.5097124286390756	0.8486348229798184	-0.3608074487914651	-0.6216865920324237	-0.1903051464093676	-0.3499658040812097	-0.0790538943888003	-0.0430750764640058	-0.19527801786345902	0.8018880048381847	-0.8640044455916103	0.7548723219442196	10.924200917284992	1	0	0	0	0	0.0	0.0	0.0	1.6413261944442383	-2.1582206464546836	3.341245915213435	0.0	0.0	0.0	-3.0147159857299033	-1.597466391280859	0.0	0.0	-0.0430750764640058	0.0	0.0	0.0	0.0
70000	-2253.6268625314847	0.0	-2253.6268625314847	-2128.637484706591	46.06003300334383	0.00341	8.727	0.469	10.628773304444815	29.54711042800412	6.732905894972758	6.549085181032185	10.803883408710044	5.5736084023369035	11.971192320227951	9.33371923263851	4.816636971562509	6.996794532267349	3.8517837112270477	11.287077823964713	5.367866711093445E-6	7.862198587277501E-11	6.725658207434067E-7	3.3428418336236314E-8	5.053609212811936E-10	5.5103997782089E-14	1.613798163291907E-4	3.886989254415484E-7	3.5149580669523456E-7	3.014587443789408E-12	3.897624701434128E-13	0.9998318055405461	5	0	-0.28148584018001666	-0.6237271746589482	-3.9845239335279516	1.8003770208201226	-2.050000760207264	3.396499196702907	0.5018766102537993	-7.414716800862439	2.275364975594494	-3.1867016949506004	-1.3632301262457307	-2.3985827359113445	-10.712125468600298	5.245631189264971E-5	0	0	0	1	1	1	0	0	0	1	1	0	0	0.10719873035282333	1.129619897268118	-0.34935922316888746	-0.3770406830734691	0.12353958843088263	-0.5383233836914565	0.22613706770253422	-0.022732488941813015	-0.6842900951504965	-0.31091393573398673	-0.9078297133222455	0.1672924600102568	0.48658989096902316	0.8783874580621949	1.4221878457032284	-0.6050275174221288	-1.7278776404380811	9.548327955292098	0	0	0	0	0	0.0	0.0	0.0	1.8003770208201226	-2.050000760207264	3.396499196702907	0.0	0.0	0.0	-3.1867016949506004	-1.3632301262457307	0.0	0.0	0.0	0.0	0.0	0.0	0.0
80000	-2259.1047110266413	0.0	-2259.1047110266413	-2133.8471015729538	46.06003300334383	0.00341	8.727	0.469	11.050269057937173	26.881135027121363	8.856819561429088	7.247614573459295	12.497430928459394	6.077150375626303	16.0050507183463	8.916994098591305	6.334327773928077	7.321276711786269	2.531279691912038	10.34054153199732	0.0047965863383136655	7.68415109607851E-14	0.9858976022952174	7.319466810665866E-7	1.5585137213974407E-8	4.19482482326716E-13	1.206472707199915E-11	6.7770346915676495E-6	5.8405363102546044E-5	1.939579572214369E-12	2.618807577503208E-9	0.009239878803548278	5	1	0.9247711265936482	4.292646982005036	3.261558417368526	1.2753441542403061	-2.44305441815972	4.754119926340151	8.382768379542116	3.5396639390216302	7.380189045783152	-4.289093900077037	-1.5600245023015642	-6.508424287066398	3.1328039894562294	6.696936229393656E-6	0	0	0	1	1	1	0	0	0	1	1	0	0	0.37397725133665827	1.1356312217672992	0.20209522537297134	-0.0177302435123969	0.4419929935563731	-0.10831047881077478	0.43046212803758055	0.05252317566501269	-0.28552356198353424	-0.03903262057225007	-0.9458878287239816	0.14432164027523847	1.4747468960014876	1.528049620045278	-0.6467216673063895	-0.12940852416871482	-0.8627870620940681	7.940495817914683	0	0	0	1	0	0.0	0.0	0.0	1.2753441542403061	-2.44305441815972	4.754119926340151	0.0	0.0	0.0	-4.289093900077037	-1.5600245023015642	0.0	0.0	0.0	0.0	0.0	-0.12940852416871482	0.0
90000	-2256.8094636518886	0.0	-2256.8094636518886	-2136.020530524648	46.06003300334383	0.00341	8.727	0.469	14.122841202828267	31.857738521353568	6.887148490112654	11.828749311417743	11.581046863674716	4.217182670020856	8.464561306883056	8.269867380648892	7.0841914003159765	11.26959361010154	4.406751596777588	12.130231379026565	1.1822977166207641E-5	9.04823322798016E-12	2.8854000517908208E-5	5.029779564560086E-8	4.586217572318628E-10	4.819932943016903E-15	8.813197555853626E-6	8.412175301858297E-7	2.480688675557364E-6	2.0711541706302851E-13	5.034807975745418E-12	0.999947137147842	5	0	-4.027454210429172	-1.5556111486943816	-2.3578576642414157	1.932295715656219	-2.116915122037918	4.08195796023259	-2.1501661797208422	-2.0176360836926497	-7.171545721051401	-4.079166359891923	-1.2159006285269296	0.9699310282672242	-1.8132870245602333	1.5484807158167652E-5	0	0	0	1	1	1	0	0	0	1	1	0	0	0.8739926258833159	1.687479515939008	0.1558563329876473	0.6967321463570058	0.6755690665233623	-0.3346335129152032	0.3620873856221555	0.33881766843908595	0.18406493396303295	0.6483074636899696	-0.2906629856047183	0.7218999934436933	-0.13440519906943166	-0.35113783065857734	1.5118364163950837	0.5320772244671377	0.6743290722824888	5.893209785193139	0	0	0	0	0	0.0	0.0	0.0	1.932295715656219	-2.116915122037918	4.08195796023259	0.0	0.0	0.0	-4.079166359891923	-1.2159006285269296	0.0	0.0	0.0	0.0	0.0	0.0	0.0
100000	-2255.6346488344984	0.0	-2255.6346488344984	-2129.904307624583	46.06003300334383	0.00341	8.727	0.469	15.132773523582117	35.67179261919097	6.280536556802796	10.172875315190383	14.572922856878154	4.759820233737567	14.69081479414261	9.378602055830987	4.027873975534202	6.312564717366428	2.884913470745001	9.950176151998694	7.707678508575439E-5	8.374331719013516E-12	2.3524820155672942E-4	3.231414453686672E-7	4.4189975121806686E-9	1.4344426276925504E-13	1.8057792876721838E-5	4.802543116585934E-6	1.3096189263904965E-5	3.4850244961916565E-13	8.054084306222598E-11	0.9996513908382503	5	0	-3.3044270056908056	-1.7683638515438487	-8.162328476661578	1.5810110208632642	-1.8138108600729765	4.186991693848333	3.440096142905197	-4.99278117698831	2.956483450998133	-3.7718050323598873	-1.2672846651899492	2.6309782116354707	-8.877314317246642	2.8906913635891416E-5	0	0	0	1	1	1	0	0	0	1	1	0	0	0.6580414388909215	1.51553886879211	-0.22136596915853304	0.2609035103217525	0.6203438230023348	-0.4986114834616205	0.6284010695822088	0.17960933238150803	-0.6655826977101139	-0.21627933816528364	-0.9993264782693644	0.2387688697619785	1.9688305830983335	-0.32571331724368724	0.6813478473969103	0.5691469082621807	-0.6096532105014381	7.836727879786213	0	0	0	0	0	0.0	0.0	0.0	1.5810110208632642	-1.8138108600729765	4.186991693848333	0.0	0.0	0.0	-3.7718050323598873	-1.2672846651899492	0.0	0.0	0.0	0.0	0.0	0.0	0.0
